label,seed,strategy,avg_retr,resp_p50,resp_p95,util,n_down,fails,viol
G2_rho:low_0.60,2036,awra,10.91210523921502,93.02319562324737,774.357414872713,0.4153167559142548,5,0,0
G2_rho:low_0.60,2037,seq,21.03444889504304,103.0,560.272145978237,0.30206973869483295,4,0,0
G2_rho:low_0.60,2037,near,12.260595942403198,72.83333333333394,566.2386129497954,0.3010983752020072,3,0,0
G2_rho:low_0.60,2037,score,12.127159635812994,72.33333333333337,659.1012229784537,0.29607977421045273,3,0,0
G2_rho:low_0.60,2037,awra,10.272073593119973,65.33333333333348,271.3063491870889,0.30217595472702236,2,0,0
G2_rho:low_0.60,2038,seq,20.067510030022248,111.0,492.415619052746,0.36456466084556566,2,0,0
G2_rho:low_0.60,2038,near,11.532575022021367,72.80957628838041,584.8756139116244,0.3644533312423307,2,0,0
G2_rho:low_0.60,2038,score,11.12691260154148,73.66666666666652,615.8554934258214,0.3644220853096272,2,0,0
G2_rho:low_0.60,2038,awra,10.751557221873107,73.33333333333394,551.6763926110464,0.36434080958871373,2,0,0
G2_rho:low_0.60,2039,seq,21.847444787753698,107.0,267.1413553557268,0.35122269229549463,2,0,0
G2_rho:low_0.60,2039,near,11.550016589379602,68.23231281890003,164.8221373265751,0.351279366551666,1,0,0
G2_rho:low_0.60,2039,score,10.945372670813478,67.65788865366994,187.10654727606197,0.3511410751762672,1,0,0
G2_rho:low_0.60,2039,awra,11.166087289097948,68.83333333333394,186.22247587796483,0.3511615616863195,1,0,0
G2_rho:low_0.60,2040,seq,21.145694066574958,136.0524785458815,799.1091892975619,0.3923258136303744,2,0,0
G2_rho:low_0.60,2040,near,11.179639272224728,96.49382688287369,657.6499814402146,0.39261867477047974,1,0,0
G2_rho:low_0.60,2040,score,10.479299197512148,95.37217009904816,651.6578886536699,0.39247980982763864,1,0,0
G2_rho:low_0.60,2040,awra,10.716898022384298,95.26783707977665,621.8843607242752,0.39263703133387495,1,0,0
G2_rho:low_0.60,2041,seq,19.389807760535646,101.83333333333337,756.9244001953593,0.37971305161352326,3,0,0
G2_rho:low_0.60,2041,near,11.736018923615486,69.33333333333394,337.5999990677328,0.3913460409475923,1,0,0
G2_rho:low_0.60,2041,score,11.701450752316271,69.33333333333394,353.2887642033902,0.39139664264272,1,0,0
G2_rho:low_0.60,2041,awra,10.741868012335617,66.81664810688198,353.51063006344793,0.39119093039225844,1,0,0
G2_rho:low_0.60,2042,seq,19.645169225097284,107.94957527778388,750.5370259087975,0.3616194532151753,4,0,0
G2_rho:low_0.60,2042,near,10.95450005717615,88.36501359743124,734.5743889142468,0.36268505096081566,3,0,0
G2_rho:low_0.60,2042,score,10.821628186387168,92.0583119492403,756.0989107974856,0.3623442067963539,3,0,0
G2_rho:low_0.60,2042,awra,11.261633045948038,93.15341514697411,689.1225862350028,0.36234850339277236,3,0,0
G2_rho:low_0.60,2043,seq,22.010093889056357,114.26153656360839,812.7870002716008,0.3835712738729156,3,0,0
G2_rho:low_0.60,2043,near,11.295166862740256,81.91261775530256,782.5394148121836,0.38332641138951146,2,0,0
G2_rho:low_0.60,2043,score,10.911173945760678,83.28303362068868,788.6563362835818,0.38330073686348426,2,0,0
G2_rho:low_0.60,2043,awra,10.909149673442665,82.86144747163598,765.8987584040442,0.383707405885044,2,0,0
G2_rho:low_0.60,2044,seq,19.446378403077837,111.0,550.1840847803314,0.38922560846826965,1,0,0
G2_rho:low_0.60,2044,near,12.018069992943435,70.33333333333348,264.4800262278968,0.38856251692651456,0,0,0
G2_rho:low_0.60,2044,score,11.596357750015125,69.83333333333394,259.20623964398465,0.3885581728237097,0,0,0
G2_rho:low_0.60,2044,awra,11.728620359084982,68.33333333333394,320.18101282143925,0.3888255996896599,0,0,0
G2_rho:low_0.60,2045,seq,20.624485523515613,107.0,737.7474151938131,0.36204702470671335,2,0,0
G2_rho:low_0.60,2045,near,11.614501442953117,72.23231281889969,266.1789041044749,0.3617234219178281,2,0,0
G2_rho:low_0.60,2045,score,11.08797321952778,72.26153656360839,264.9197421076724,0.3618746710216845,2,0,0
G2_rho:low_0.60,2045,awra,10.994587847781862,71.0,212.5579335963714,0.3618089704120323,2,0,0
G2_rho:low_0.60,2046,seq,18.096160388680172,128.49939113799678,644.9007361163071,0.38960288737578525,1,0,0
G2_rho:low_0.60,2046,near,11.36854502304406,87.87591564472382,429.6718786918027,0.3922996867884807,0,0,0
G2_rho:low_0.60,2046,score,11.298041344126592,92.2221020140696,397.21384566608094,0.3924437522166581,0,0,0
G2_rho:low_0.60,2046,awra,11.297357621593427,88.78939029014873,375.9632776367189,0.3920391869402891,0,0,0
G2_rho:low_0.60,2047,seq,21.98631078797654,114.16667438306376,1221.1297000857244,0.35358667015521084,4,0,0
G2_rho:low_0.60,2047,near,11.55227095445495,73.83333333333394,1218.4786761853745,0.3529450493748399,3,0,0
G2_rho:low_0.60,2047,score,11.138162245953406,75.33333333333394,1191.742442026159,0.3529908167962435,3,0,0
G2_rho:low_0.60,2047,awra,11.044543897090843,86.62759131482017,1102.757277779733,0.35329716662109417,3,0,0
G2_rho:low_0.60,2048,seq,21.284397083919306,104.23231281889821,370.0684314596392,0.36724964405908916,2,0,0
G2_rho:low_0.60,2048,near,11.681656947070346,73.33333333333394,425.2392914156444,0.3677657565902198,1,0,0
G2_rho:low_0.60,2048,score,11.637592587981008,73.33333333333326,429.17954834920647,0.3676989424917865,1,0,0
G2_rho:low_0.60,2048,awra,11.247737639170484,74.93060169608566,450.5302475548192,0.36747622701298194,1,0,0
G2_rho:low_0.60,2049,seq,21.51729872804494,103.0,188.87904150895338,0.4338900771913447,0,0,0
G2_rho:low_0.60,2049,near,11.198584990453664,66.26153656360839,128.2894935581039,0.43382634524156355,0,0,0
G2_rho:low_0.60,2049,score,10.499813084097381,66.16666666666669,128.05473444955032,0.4339898658764027,0,0,0
G2_rho:low_0.60,2049,awra,11.374833772180935,67.0,128.63470461113775,0.434976122735813,0,0,0
G2_rho:low_0.60,2050,seq,21.26871126133889,110.26153656360839,451.9901460099586,0.43545013135567945,1,0,0
