scenario,strat,n_runs,exp_t_mean,exp_t_ci95,energy_mean,energy_ci95,heavy_tier_mean,heavy_tier_ci95,hot_t_mean,hot_t_ci95,exp_t_relci_pct,fail_mean,viol_sum
light_full,near,30,8.776,0.393,7253.093,109.943,4.083,0.184,8.892,0.291,4.48,0,0
light_full,score,30,8.175,0.478,7202.937,111.807,3.989,0.2,8.356,0.322,5.85,0,0
light_full,awra,30,5.826,0.266,5581.04,111.935,0.529,0.022,6.492,0.334,4.57,0,0
light_full,cb,30,6.324,0.37,12622.24,222.7,6.867,0.298,3.574,0.1,5.85,0,0
light_full,tob,30,4.561,0.226,7283.56,111.391,3.978,0.159,3.417,0.0,4.96,0,0
flat_info,random,30,18.78,0.277,44562.073,1048.505,6.965,0.3,19.392,0.845,1.47,0,0
flat_info,seq,30,18.904,0.07,43920.587,730.983,5.335,0.291,18.451,0.714,0.37,0,0
flat_info,near,30,9.138,0.018,20600.6,412.416,4.1,0.184,8.892,0.291,0.2,0,0
flat_info,score,30,9.128,0.019,19976.287,420.381,3.726,0.207,8.765,0.287,0.21,0,0
flat_info,awra,30,8.923,0.013,14279.477,389.506,0.49,0.011,6.469,0.236,0.15,0,0
flat_info,cb,30,12.136,0.085,29884.303,651.282,4.778,0.265,3.417,0.0,0.7,0,0
flat_info,tob,30,8.677,0.006,20718.703,411.95,3.994,0.171,3.417,0.0,0.07,0,0
dense_200,random,30,19.411,0.668,75317.13,1115.73,6.88,0.219,19.409,0.586,3.44,0,0
dense_200,seq,30,18.65,0.642,74040.963,1088.87,5.438,0.302,19.006,0.464,3.44,0,0
dense_200,near,30,13.974,0.458,56581.753,863.95,6.511,0.218,14.301,0.328,3.28,3.03,0
dense_200,score,30,13.501,0.48,55328.94,880.887,6.304,0.209,13.687,0.345,3.56,2.43,0
dense_200,awra,30,10.18,0.416,42466.49,871.729,1.205,0.024,11.784,0.519,4.09,0,0
dense_200,cb,30,8.786,0.458,74516.117,1177.431,5.402,0.311,4.694,0.11,5.21,0,0
dense_200,tob,30,6.744,0.306,56630.85,806.192,6.516,0.183,4.493,0.012,4.54,3.53,0
dense_240,random,30,19.613,0.525,90336.48,1243.411,6.924,0.216,19.688,0.483,2.68,0,0
dense_240,seq,30,18.842,0.552,88048.243,1209.978,5.465,0.296,19.308,0.498,2.93,0,0
