cycle,q_near_none,q_near_nightly,q_near_triggered,q_score_none,q_score_nightly,q_score_triggered
581,9.5075,8.1681,8.1681,9.5263,8.2166,8.2166
582,9.6605,8.2366,8.2366,9.6791,8.3168,8.3168
583,9.656,8.2644,8.2644,9.6745,8.3347,8.3347
584,9.7308,8.5464,8.5464,9.7488,8.6144,8.6144
585,9.6309,8.173,8.173,9.6497,8.244,8.244
586,9.6977,8.2499,8.2499,9.7164,8.3204,8.3204
587,9.6734,8.2443,8.2443,9.6918,8.3139,8.3139
588,9.9549,8.4492,8.4492,10.0025,8.5507,8.5507
589,9.7457,8.1864,8.1864,9.7859,8.2824,8.2824
590,9.8944,8.4338,8.4338,9.9321,8.5238,8.5238
591,9.9058,8.4451,8.4451,9.9435,8.5351,8.5351
592,9.7628,8.6297,8.6297,9.8473,8.7214,8.7214
593,10.114,8.2021,8.2021,10.0881,8.352,8.352
594,9.694,8.6051,8.6051,9.7751,8.4589,8.4589
595,9.7156,8.5669,8.5669,9.792,8.4189,8.4189
596,9.7091,8.5568,8.5568,9.7856,8.4083,8.4083
597,9.665,8.734,8.734,9.7416,8.5855,8.5855
598,9.5279,8.4306,8.4306,9.6089,8.2734,8.2734
599,9.6787,8.67,8.67,9.7561,8.5199,8.5199
600,9.7485,8.6643,8.6643,9.8266,8.5127,8.5127

online,policy,mean_quality,final_quality,flow_s,reslot_s,moves,reslot_path_m,nights_run,nights_skip,net_total_s
near,none,8.691,9.748,13986.5,0.0,0,0.0,0,0,13986.5
near,nightly,8.317,8.664,13546.0,506.5,25,632.0,5,0,14052.5
near,triggered,8.317,8.664,13546.0,506.5,25,632.0,5,0,14052.5
score,none,8.696,9.827,14077.0,0.0,0,0.0,0,0,14077.0
score,nightly,8.328,8.513,13711.0,464.5,23,636.0,5,0,14175.5
score,triggered,8.328,8.513,13711.0,464.5,23,636.0,5,0,14175.5
