density,case,mode,delta,bg,exp_mean,ene_mean,fail_sum,viol_sum
240,uniform,online,0.2,1.4,16.413,69600.7,24,0
240,uniform,batch,0.0,0.6,12.725,69554.6,0,0
240,uniform,batch,0.0,1.0,13.369,65515.4,0,0
240,uniform,batch,0.0,1.4,13.986,62921.7,0,0
240,uniform,batch,0.05,0.6,12.681,69909.6,0,0
240,uniform,batch,0.05,1.0,13.319,65776.1,0,0
240,uniform,batch,0.05,1.4,13.887,63271.9,0,0
240,uniform,batch,0.1,0.6,12.641,70318.9,0,0
240,uniform,batch,0.1,1.0,13.218,66304.4,0,0
240,uniform,batch,0.1,1.4,13.835,63475.1,0,0
240,uniform,batch,0.15,0.6,12.613,70567.6,0,0
240,uniform,batch,0.15,1.0,13.158,66674.3,0,0
240,uniform,batch,0.15,1.4,13.753,63796.6,0,0
240,uniform,batch,0.2,0.6,12.583,71020.5,0,0
240,uniform,batch,0.2,1.0,13.101,67026.7,0,0
240,uniform,batch,0.2,1.4,13.685,64121.6,0,0
240,skew,online,0.0,0.6,16.713,69435.6,25,0
240,skew,online,0.0,1.0,16.72,69455.8,25,0
240,skew,online,0.0,1.4,16.72,69455.8,25,0
240,skew,online,0.05,0.6,16.487,69409.3,25,0
240,skew,online,0.05,1.0,16.488,69409.7,25,0
240,skew,online,0.05,1.4,16.493,69436.0,25,0
240,skew,online,0.1,0.6,16.707,68418.7,21,0
240,skew,online,0.1,1.0,16.408,68586.0,25,0
240,skew,online,0.1,1.4,16.533,69409.3,25,0
240,skew,online,0.15,0.6,16.421,68886.7,13,0
240,skew,online,0.15,1.0,16.912,68751.2,21,0
240,skew,online,0.15,1.4,16.429,68759.8,24,0
240,skew,online,0.2,0.6,15.971,69262.4,7,0
240,skew,online,0.2,1.0,16.694,69452.7,15,0
240,skew,online,0.2,1.4,16.919,68743.2,21,0
240,skew,batch,0.0,0.6,11.643,59830.9,0,0
240,skew,batch,0.0,1.0,12.526,59367.0,0,0
240,skew,batch,0.0,1.4,13.139,59164.5,0,0
240,skew,batch,0.05,0.6,11.597,59860.2,0,0
240,skew,batch,0.05,1.0,12.45,59398.9,0,0
240,skew,batch,0.05,1.4,13.051,59188.9,0,0
240,skew,batch,0.1,0.6,11.636,60168.7,0,0
240,skew,batch,0.1,1.0,12.383,59482.8,0,0
240,skew,batch,0.1,1.4,12.967,59215.4,0,0
240,skew,batch,0.15,0.6,11.712,60848.6,0,0
240,skew,batch,0.15,1.0,12.39,59699.9,0,0
240,skew,batch,0.15,1.4,12.957,59320.0,0,0
240,skew,batch,0.2,0.6,11.888,61806.0,0,0
240,skew,batch,0.2,1.0,12.386,60054.9,0,0
240,skew,batch,0.2,1.4,12.906,59499.0,0,0
240,heavy,online,0.0,0.6,16.755,90236.6,24,0
240,heavy,online,0.0,1.0,16.755,90236.6,24,0
240,heavy,online,0.0,1.4,16.755,90236.6,24,0
240,heavy,online,0.05,0.6,16.523,90210.5,24,0
240,heavy,online,0.05,1.0,16.523,90210.5,24,0
240,heavy,online,0.05,1.4,16.528,90220.2,24,0
240,heavy,online,0.1,0.6,16.466,89613.5,24,0
240,heavy,online,0.1,1.0,16.575,90167.7,24,0
240,heavy,online,0.1,1.4,16.573,90203.7,24,0
240,heavy,online,0.15,0.6,16.472,90056.2,22,0
240,heavy,online,0.15,1.0,16.5,89633.8,24,0
240,heavy,online,0.15,1.4,16.528,89856.4,24,0
240,heavy,online,0.2,0.6,16.309,90322.5,19,0
240,heavy,online,0.2,1.0,16.5,89795.0,23,0
240,heavy,online,0.2,1.4,16.515,89628.0,24,0
240,heavy,batch,0.0,0.6,11.169,86496.8,0,0
240,heavy,batch,0.0,1.0,12.087,86020.5,0,0
240,heavy,batch,0.0,1.4,12.735,85815.1,0,0
240,heavy,batch,0.05,0.6,11.082,86549.4,0,0
240,heavy,batch,0.05,1.0,12.002,86056.9,0,0
240,heavy,batch,0.05,1.4,12.601,85855.4,0,0
240,heavy,batch,0.1,0.6,10.988,86656.4,0,0
240,heavy,batch,0.1,1.0,11.898,86115.5,0,0
240,heavy,batch,0.1,1.4,12.537,85872.9,0,0
240,heavy,batch,0.15,0.6,10.942,86826.0,0,0
240,heavy,batch,0.15,1.0,11.8,86176.8,0,0
240,heavy,batch,0.15,1.4,12.446,85914.4,0,0
240,heavy,batch,0.2,0.6,10.949,87249.1,0,0
240,heavy,batch,0.2,1.0,11.731,86253.7,0,0
240,heavy,batch,0.2,1.4,12.377,85954.7,0,0
