scenario,seed,selector,strat,exp_t,fail,excess_fail,oracle_strat,oracle_exp,gap_pct,attain_pct
L120_uniform,2029,det_holistic,awra,7.2677,0,0,tob,6.8172,6.608,93.8
L120_uniform,2029,det_lexicographic,tob,6.8172,0,0,tob,6.8172,0.0,100.0
L120_uniform,2029,det_speed,tob,6.8172,0,0,tob,6.8172,0.0,100.0
L120_uniform,2029,random,random,19.3561,0,0,tob,6.8172,183.93,35.22
L120_uniform,2029,seq,seq,18.2143,0,0,tob,6.8172,167.182,37.43
L120_uniform,2029,near,near,9.0673,0,0,tob,6.8172,33.006,75.18
L120_uniform,2029,score,score,8.8397,0,0,tob,6.8172,29.668,77.12
L120_uniform,2029,awra,awra,7.2677,0,0,tob,6.8172,6.608,93.8
L120_uniform,2029,cb,cb,9.628,0,0,tob,6.8172,41.231,70.81
L120_uniform,2029,tob,tob,6.8172,0,0,tob,6.8172,0.0,100.0
L120_uniform,2030,det_holistic,awra,7.2514,0,0,tob,6.8066,6.535,93.87
L120_uniform,2030,det_lexicographic,tob,6.8066,0,0,tob,6.8066,0.0,100.0
L120_uniform,2030,det_speed,tob,6.8066,0,0,tob,6.8066,0.0,100.0
L120_uniform,2030,random,random,18.5315,0,0,tob,6.8066,172.258,36.73
L120_uniform,2030,seq,seq,19.4579,0,0,tob,6.8066,185.867,34.98
L120_uniform,2030,near,near,8.8721,0,0,tob,6.8066,30.345,76.72
L120_uniform,2030,score,score,8.5846,0,0,tob,6.8066,26.122,79.29
L120_uniform,2030,awra,awra,7.2514,0,0,tob,6.8066,6.535,93.87
L120_uniform,2030,cb,cb,9.4854,0,0,tob,6.8066,39.355,71.76
L120_uniform,2030,tob,tob,6.8066,0,0,tob,6.8066,0.0,100.0
L120_uniform,2031,det_holistic,awra,7.4651,0,0,tob,6.8955,8.261,92.37
L120_uniform,2031,det_lexicographic,tob,6.8955,0,0,tob,6.8955,0.0,100.0
L120_uniform,2031,det_speed,tob,6.8955,0,0,tob,6.8955,0.0,100.0
L120_uniform,2031,random,random,19.5785,0,0,tob,6.8955,183.931,35.22
L120_uniform,2031,seq,seq,18.6772,0,0,tob,6.8955,170.859,36.92
L120_uniform,2031,near,near,9.3884,0,0,tob,6.8955,36.152,73.45
L120_uniform,2031,score,score,9.0883,0,0,tob,6.8955,31.799,75.87
L120_uniform,2031,awra,awra,7.4651,0,0,tob,6.8955,8.261,92.37
L120_uniform,2031,cb,cb,9.6013,0,0,tob,6.8955,39.24,71.82
L120_uniform,2031,tob,tob,6.8955,0,0,tob,6.8955,0.0,100.0
L120_uniform,2032,det_holistic,awra,7.2481,0,0,tob,6.8221,6.245,94.12
L120_uniform,2032,det_lexicographic,tob,6.8221,0,0,tob,6.8221,0.0,100.0
L120_uniform,2032,det_speed,tob,6.8221,0,0,tob,6.8221,0.0,100.0
L120_uniform,2032,random,random,18.4665,0,0,tob,6.8221,170.688,36.94
L120_uniform,2032,seq,seq,18.7252,0,0,tob,6.8221,174.48,36.43
L120_uniform,2032,near,near,9.2358,0,0,tob,6.8221,35.381,73.87
L120_uniform,2032,score,score,8.9679,0,0,tob,6.8221,31.455,76.07
L120_uniform,2032,awra,awra,7.2481,0,0,tob,6.8221,6.245,94.12
L120_uniform,2032,cb,cb,9.4569,0,0,tob,6.8221,38.622,72.14
L120_uniform,2032,tob,tob,6.8221,0,0,tob,6.8221,0.0,100.0
L120_uniform,2033,det_holistic,awra,7.1143,0,0,tob,6.6652,6.737,93.69
L120_uniform,2033,det_lexicographic,tob,6.6652,0,0,tob,6.6652,0.0,100.0
L120_uniform,2033,det_speed,tob,6.6652,0,0,tob,6.6652,0.0,100.0
L120_uniform,2033,random,random,17.7139,0,0,tob,6.6652,165.765,37.63
L120_uniform,2033,seq,seq,18.5798,0,0,tob,6.6652,178.757,35.87
L120_uniform,2033,near,near,9.1454,0,0,tob,6.6652,37.21,72.88
L120_uniform,2033,score,score,8.8116,0,0,tob,6.6652,32.202,75.64
L120_uniform,2033,awra,awra,7.1143,0,0,tob,6.6652,6.737,93.69
L120_uniform,2033,cb,cb,9.0762,0,0,tob,6.6652,36.172,73.44
L120_uniform,2033,tob,tob,6.6652,0,0,tob,6.6652,0.0,100.0
L120_uniform,2034,det_holistic,awra,7.1417,0,0,tob,6.6034,8.153,92.46
L120_uniform,2034,det_lexicographic,tob,6.6034,0,0,tob,6.6034,0.0,100.0
L120_uniform,2034,det_speed,tob,6.6034,0,0,tob,6.6034,0.0,100.0
L120_uniform,2034,random,random,18.6465,0,0,tob,6.6034,182.377,35.41
L120_uniform,2034,seq,seq,19.5703,0,0,tob,6.6034,196.368,33.74
L120_uniform,2034,near,near,9.4931,0,0,tob,6.6034,43.761,69.56
L120_uniform,2034,score,score,9.1401,0,0,tob,6.6034,38.415,72.25
L120_uniform,2034,awra,awra,7.1417,0,0,tob,6.6034,8.153,92.46
L120_uniform,2034,cb,cb,8.9835,0,0,tob,6.6034,36.043,73.51
L120_uniform,2034,tob,tob,6.6034,0,0,tob,6.6034,0.0,100.0
L120_uniform,2035,det_holistic,awra,7.2101,0,0,tob,6.8475,5.296,94.97
L120_uniform,2035,det_lexicographic,tob,6.8475,0,0,tob,6.8475,0.0,100.0
L120_uniform,2035,det_speed,tob,6.8475,0,0,tob,6.8475,0.0,100.0
L120_uniform,2035,random,random,18.9073,0,0,tob,6.8475,176.121,36.22
L120_uniform,2035,seq,seq,19.3492,0,0,tob,6.8475,182.575,35.39
L120_uniform,2035,near,near,8.9328,0,0,tob,6.8475,30.454,76.66
L120_uniform,2035,score,score,8.6846,0,0,tob,6.8475,26.829,78.85
L120_uniform,2035,awra,awra,7.2101,0,0,tob,6.8475,5.296,94.97
L120_uniform,2035,cb,cb,9.5607,0,0,tob,6.8475,39.623,71.62
L120_uniform,2035,tob,tob,6.8475,0,0,tob,6.8475,0.0,100.0
L120_uniform,2036,det_holistic,awra,7.2618,0,0,tob,6.7614,7.4,93.11
L120_uniform,2036,det_lexicographic,tob,6.7614,0,0,tob,6.7614,0.0,100.0
L120_uniform,2036,det_speed,tob,6.7614,0,0,tob,6.7614,0.0,100.0
L120_uniform,2036,random,random,17.9747,0,0,tob,6.7614,165.842,37.62
L120_uniform,2036,seq,seq,19.2566,0,0,tob,6.7614,184.8,35.11
L120_uniform,2036,near,near,9.41,0,0,tob,6.7614,39.171,71.85
L120_uniform,2036,score,score,8.9514,0,0,tob,6.7614,32.389,75.53
L120_uniform,2036,awra,awra,7.2618,0,0,tob,6.7614,7.4,93.11
L120_uniform,2036,cb,cb,9.3215,0,0,tob,6.7614,37.863,72.54
L120_uniform,2036,tob,tob,6.7614,0,0,tob,6.7614,0.0,100.0
L120_uniform,2037,det_holistic,awra,7.5436,0,0,tob,7.0239,7.399,93.11
L120_uniform,2037,det_lexicographic,tob,7.0239,0,0,tob,7.0239,0.0,100.0
L120_uniform,2037,det_speed,tob,7.0239,0,0,tob,7.0239,0.0,100.0
L120_uniform,2037,random,random,17.7668,0,0,tob,7.0239,152.947,39.53
L120_uniform,2037,seq,seq,19.545,0,0,tob,7.0239,178.265,35.94
L120_uniform,2037,near,near,9.0768,0,0,tob,7.0239,29.227,77.38
L120_uniform,2037,score,score,8.8918,0,0,tob,7.0239,26.593,78.99
L120_uniform,2037,awra,awra,7.5436,0,0,tob,7.0239,7.399,93.11
L120_uniform,2037,cb,cb,9.7638,0,0,tob,7.0239,39.008,71.94
