scenario,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
L120_uniform,2051,near,120,0,2196.0,8.734124221680782,7.333333333333333,4.291666666666667,20129.3,3.8888931821255386,3240.0,0.6325,0
L120_uniform,2051,score,120,0,2196.0,8.481678075569477,7.0,4.541666666666667,20086.9,3.8807016865980186,3240.0,0.6325,0
L120_uniform,2051,awra,120,0,2196.0,7.451032763532764,4.208333333333333,0.75,16155.000000000005,3.1210757133749363,3240.0,0.6325,0
L120_uniform,2051,cb,120,0,3372.0,9.619476028412686,3.4166666666666665,5.208333333333333,33359.40000000001,6.444890941056012,3744.0,0.6325,0
L120_uniform,2051,tob,120,0,2196.0,6.962498872001133,3.4166666666666665,4.416666666666667,21338.099999999995,4.122428082919574,3240.0,0.6325,0
L120_uniform,2052,random,120,0,4507.0,19.51371734704348,23.0625,7.75,45608.1,9.06865903125746,4410.0,0.6325,0
L120_uniform,2052,seq,120,0,4592.0,19.89593178050084,22.583333333333332,6.166666666666667,44274.60000000001,8.803507516105949,3240.0,0.6325,0
L120_uniform,2052,near,120,0,2196.0,8.870290962572529,7.354166666666667,4.791666666666667,20263.099999999988,4.029090113735783,3240.0,0.6325,0
L120_uniform,2052,score,120,0,2196.0,8.456502328528666,6.5625,4.833333333333333,20136.499999999993,4.003917123995865,3240.0,0.6325,0
L120_uniform,2052,awra,120,0,2196.0,7.199936633777437,3.9375,0.875,15875.500000000002,3.1566650759564165,3240.0,0.6325,0
L120_uniform,2052,cb,120,0,3375.0,9.192882641075355,3.4166666666666665,6.458333333333333,33503.9,6.6618746520321315,3754.0,0.6325,0
L120_uniform,2052,tob,120,0,2196.0,6.648195952842573,3.4166666666666665,4.625,20920.999999999993,4.159906148095122,3240.0,0.6325,0
L120_uniform,2053,random,120,0,4701.0,20.45015907446417,21.625,5.958333333333333,46901.39999999999,9.15953520164046,4516.0,0.6325,0
L120_uniform,2053,seq,120,0,4529.0,18.171878233832246,13.25,5.0,44664.3,8.722644273020212,3208.0,0.6325,0
L120_uniform,2053,near,120,0,2196.0,9.271055506800169,9.1875,3.5416666666666665,20168.70000000001,3.9388145688897582,3240.0,0.6325,0
L120_uniform,2053,score,120,0,2196.0,8.968872584803611,8.75,3.4166666666666665,19972.90000000001,3.9005761156137106,3240.0,0.6325,0
L120_uniform,2053,awra,120,0,2196.0,7.486248842839563,5.020833333333333,1.0833333333333333,15647.499999999995,3.055853920515573,3240.0,0.6325,0
L120_uniform,2053,cb,120,0,3348.0,9.493815910013426,3.4166666666666665,5.833333333333333,33398.0,6.522409920906161,3698.0,0.6325,0
L120_uniform,2053,tob,120,0,2196.0,6.922813989568313,3.4166666666666665,4.708333333333333,21744.099999999995,4.246479835953519,3240.0,0.6325,0
L120_uniform,2054,random,120,0,4296.0,17.83889829416061,17.8125,7.541666666666667,42877.59999999999,8.183997556878914,4368.0,0.6325,0
L120_uniform,2054,seq,120,0,4529.0,18.72733210157693,17.854166666666668,5.375,45718.99999999998,8.726332264467857,3208.0,0.6325,0
L120_uniform,2054,near,120,0,2196.0,9.526956559102821,9.708333333333334,4.458333333333333,21216.9,4.04964498396702,3240.0,0.6325,0
L120_uniform,2054,score,120,0,2196.0,9.184688695054353,9.0,4.5,21029.200000000004,4.0138189036494145,3240.0,0.6325,0
L120_uniform,2054,awra,120,0,2196.0,7.216331371116742,4.104166666666667,0.9166666666666666,16407.600000000002,3.131699496106277,3240.0,0.6325,0
L120_uniform,2054,cb,120,0,3539.0,9.672593133674214,3.4166666666666665,5.333333333333333,35847.7,6.84220873415789,3692.0,0.6325,0
L120_uniform,2054,tob,120,0,2196.0,6.851169165986336,3.4166666666666665,3.5416666666666665,20658.799999999992,3.9431210871888847,3240.0,0.6325,0
L120_uniform,2055,random,120,0,4298.0,17.91817074315076,19.333333333333332,7.958333333333333,38987.69999999999,8.396549867551089,4338.0,0.6325,0
L120_uniform,2055,seq,120,0,4592.0,19.21336907739549,20.791666666666668,6.291666666666667,41266.000000000015,8.887213834988046,3240.0,0.6325,0
L120_uniform,2055,near,120,0,2196.0,8.844816679555672,8.104166666666666,4.375,19166.099999999995,4.127689358861152,3240.0,0.6325,0
L120_uniform,2055,score,120,0,2196.0,8.543716368601745,7.729166666666667,3.9166666666666665,18850.499999999996,4.059720457433288,3240.0,0.6325,0
L120_uniform,2055,awra,120,0,2196.0,7.231584635446157,5.395833333333333,0.5833333333333334,14124.000000000004,3.0418021665625736,3240.0,0.6325,0
L120_uniform,2055,cb,120,0,3523.0,9.661484101226666,3.4166666666666665,5.333333333333333,32120.099999999984,6.91751556005427,3772.0,0.6325,0
L120_uniform,2055,tob,120,0,2196.0,6.859165536856615,3.4166666666666665,3.5416666666666665,18712.900000000005,4.030086360993262,3240.0,0.6325,0
