scenario,seed,n,density,skew,w_mean,w_heavy
illegal_mix,2031,120,0.449,0.789,47.2,0.358
illegal_mix,2032,120,0.449,0.815,48.8,0.35
illegal_mix,2033,120,0.449,0.698,47.0,0.358
illegal_mix,2034,120,0.449,0.721,44.3,0.317
illegal_mix,2035,120,0.449,0.686,45.5,0.258
illegal_mix,2036,120,0.449,0.68,44.9,0.267
illegal_mix,2037,120,0.449,0.583,43.9,0.292
illegal_mix,2038,120,0.449,0.636,44.0,0.317
illegal_mix,2039,120,0.449,0.642,48.7,0.375
illegal_mix,2040,120,0.449,0.721,42.8,0.258
illegal_mix,2041,120,0.449,0.603,44.9,0.3
illegal_mix,2042,120,0.449,0.657,45.4,0.308
illegal_mix,2043,120,0.449,0.684,43.3,0.267
illegal_mix,2044,120,0.449,0.737,42.6,0.275
illegal_mix,2045,120,0.449,0.708,43.4,0.267
illegal_mix,2046,120,0.449,0.564,44.2,0.217
illegal_mix,2047,120,0.449,0.688,44.1,0.267
illegal_mix,2048,120,0.449,0.581,41.7,0.283
illegal_mix,2049,120,0.449,0.753,44.7,0.283
illegal_mix,2050,120,0.449,0.566,45.1,0.275
illegal_mix,2051,120,0.449,0.606,44.3,0.258
illegal_mix,2052,120,0.449,0.64,43.5,0.217
illegal_mix,2053,120,0.449,0.749,44.3,0.325
illegal_mix,2054,120,0.449,0.611,46.0,0.275
illegal_mix,2055,120,0.449,0.615,40.8,0.183
